"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"Vendor","Vendor","workflow_state",1,0,0,"438f3291c9","Requested for Vendor Creation","Customer Master Approver","0","","Requested for Vendor Creation",0,"","","04cf8e2f36","Requested for Vendor Creation","Approve Vendor","Vendor Created","Customer Master Approver",1,"doc.vendor_code"
"","","","","","","348fdbffa2","Vendor Created","Customer Master Approver","0","","Vendor Created",0,"","","d4caf88f1b","Requested for Vendor Creation","Reject Vendor","Vendor Rejected","Customer Master Approver",1,""
"","","","","","","d6d94bbde1","Vendor Rejected","Customer Master Approver","0","","Vendor Rejected",0,"","","","","","","","",""
