Location Code,Location,Code
LOC-YYYY,Fazilaka - C&F  InTransit,10302
LOC-YYYY,Fazilaka -C&F Damage/BBD,10301
LOC-YYYY,Fazilaka - C&F FG Store,103
LOC-YYYY,Varanasi C&F  InTransit,10202
LOC-YYYY,Varanasi C&F Damage/BBD,10201
LOC-YYYY,Varanasi-C&F,102
LOC-YYYY,Manesar Old stock,1016
LOC-YYYY,Manesar Mewat FG Store,1015
LOC-YYYY,Manesar Mewat Cold Store,1014
LOC-YYYY,Manesar Scrap Store,1013
LOC-YYYY,Manesar Utilities,1012
LOC-YYYY,Manesar Spouting,1011
LOC-YYYY,Aurangabad C&F  InTransit,10102
LOC-YYYY,Aurangabad C&F Damage/BBD,10101
LOC-YYYY,Manesar Production,1010
LOC-YYYY,Aurangabad -C&F FG Store,101
LOC-YYYY,Manesar Beverage Process,1009
LOC-YYYY,Manesar Conc Unitization,1008
LOC-YYYY,Manesar QA Reject Materials,1007
LOC-YYYY,Manesar Materials Store,1006
LOC-YYYY,Manesar QA Receiving,1005
LOC-YYYY,Manesar QA Pre-dispatch,1004
LOC-YYYY,Manesar In Transit,1002
LOC-YYYY,Manesar Damage/BBD,1001
LOC-YYYY,Mumbai Depot Damage,10003
LOC-YYYY,Mumbai Depot GIT,10002
LOC-YYYY,Mumbai Depot BBD,10001
LOC-YYYY,Mumbai Depot Store,100
LOC-YYYY,Wazirpur,0
LOC-YYYY,Delhi,0
LOC-YYYY,Varanasi,0
LOC-YYYY,Fazika,0
LOC-YYYY,Chennai,0
LOC-YYYY,Mysore,0
LOC-YYYY,Bangalore,0
LOC-YYYY,Aurangabad,0
LOC-YYYY,Hyderabad,0
LOC-YYYY,Gujarat,0
LOC-YYYY,Pune,0
LOC-YYYY,Mumbai,0
